,Date,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
98,11/02/2011,0.598628993,0.064474434,-0.809145985,-0.612871251,-0.325297434,-0.514722732,-1.086760871,-0.675661276,0.373966115,0.171802142
99,14/02/2011,-1.127706051,-0.599843829,0.809145985,0,0.562541286,-0.232505149,0.104653593,0.062315882,3.107403762,1.141694674
100,15/02/2011,-1.278085742,-2.363971513,-0.472800307,0.203865023,1.134686117,-0.534560373,-0.174352993,-1.927851061,-0.610061423,-0.104330728
101,16/02/2011,0.065140152,0.250619028,0.202344121,-0.81303008,1.056606556,0.982209415,1.191713747,-0.268910617,0.128121155,1.294411475
102,17/02/2011,-0.972762981,-0.375657999,0.405974426,0.609165056,0.945278271,-0.525059293,-0.702723409,0.698218904,-1.558278689,-0.035224215
103,18/02/2011,4.859643197,4.234183192,3.941057765,4.584098663,3.936757512,3.081986193,3.093598805,1.448694191,2.492123566,2.422643263
104,22/02/2011,-0.439399328,0.108752438,0.070575506,-0.212947995,-0.381641323,-0.092003836,0.615797063,0.914596025,1.696614308,0.144372958
105,23/02/2011,0.541064951,0.108791123,1.42145606,0.212947995,0.19064496,-0.21439263,0.07270291,-1.337794657,0.859210906,0
106,24/02/2011,-1.280342472,-1.66320772,-1.632985486,-0.212947995,-3.007742885,-1.02259983,-0.07270291,-2.610894854,-1.64584293,0.144552731
107,25/02/2011,0.638128163,-0.021445638,-0.631782083,0.426421806,0.433042901,0.602622581,-0.76016264,-1.274350667,0.786632024,0.181016688
108,28/02/2011,2.940401288,2.362234833,2.551493108,2.378519851,1.908993004,1.519607634,2.224331492,2.063881973,0.759734777,2.123821567
109,01/03/2011,-0.519118223,0.858944222,0.648653233,-0.654335607,0.316459939,-0.235280895,1.000547976,-0.81372983,0.431932596,-0.147960099
110,02/03/2011,-1.166797506,-1.906121981,-3.13190612,-1.724184243,-2.689386105,-1.716915576,-2.537353063,-4.088473351,-2.72638816,-0.036928724
111,03/03/2011,3.013224581,1.222749775,1.056710621,3.037101455,1.554789274,2.144569422,1.832220629,-0.08123722,2.62654444,2.619916388
112,04/03/2011,0.422800236,0.727606117,0.639460363,0.441510091,0.597193331,1.155686267,0.519068759,1.096589657,0.701057578,0.075858098
113,07/03/2011,-1.68068734,-2.642372321,-4.596917172,-2.620249791,-2.460021153,-1.341844584,-3.110934253,-0.957305144,-2.448842859,-2.362736001
114,08/03/2011,0.278157511,-0.344244496,0.683051648,-0.215276176,-0.888111915,-0.64888161,-0.180007159,0,1.515172534,-0.037067888
115,09/03/2011,2.289250299,2.237027238,2.287798219,2.394015876,2.281954893,1.289490891,2.255456231,1.015979017,4.479894016,1.681341579
116,10/03/2011,-0.95728486,-0.460145513,-0.837986426,-0.658581604,-0.993183238,-0.255479411,0.073626756,-0.841496382,-0.519263853,-2.088095401
117,11/03/2011,1.528913745,0.966613896,1.048545115,0.658581604,0.86849922,1.41018894,1.073483487,-0.023264186,0.588730581,1.001350934
118,14/03/2011,0.935938106,1.534886322,1.915662368,2.227288099,-0.528186761,0.747548966,0.597218622,1.453349228,0.139027521,0
119,15/03/2011,1.972316217,1.809594512,1.953044856,1.132492113,3.275872118,1.841973992,2.118881361,1.786828168,1.931575938,0.336007701
120,16/03/2011,-1.246375732,-1.697462373,-2.096204838,-1.357494615,-0.415404146,-0.883463269,-0.761891408,-0.849766148,-2.035875283,-0.484994965
121,17/03/2011,0.072879101,-2.613632357,-0.428286584,-1.117317354,-1.487605232,-2.667179973,-1.132105442,-0.261847701,-0.346871064,-0.519694544
122,18/03/2011,-1.303907072,0.240733825,-0.07116955,1.567787031,-0.156942289,-0.156163336,0.187801216,-1.883987121,-0.655725381,0.482504731
123,21/03/2011,0.108002261,0.351281528,1.217330669,0.22596912,1.167374073,-0.361366237,0.527706368,-0.697389687,-0.24053342,0.934406149
124,22/03/2011,0.686837102,-0.285458395,1.670950523,0.453534102,0.190609798,0.786716939,0.037832376,-0.669613973,0.378204113,0.150305928
125,23/03/2011,-0.14499165,-0.284677289,1.253252916,-0.679503222,-0.50860534,-0.237957962,-0.865843049,-0.56218049,-0.789120146,-0.300401291
126,24/03/2011,1.753786256,-0.283903378,1.043977608,-0.674924611,-1.260257895,1.220616131,-0.895520672,1.510158908,-0.647278566,-1.488701417
127,25/03/2011,-0.184147229,-0.217791932,-0.22462459,0.674924611,1.038570477,0.954087093,0.185920627,0.011643131,0.510643489,-0.809421317
128,28/03/2011,-0.183786917,-0.130487604,0.14970495,-0.450469677,0.063314396,-1.270096886,0.355800187,-1.120584901,-0.102338347,-1.346678654
129,29/03/2011,0,-0.930044427,-0.746268371,0,-1.007896775,-0.377908889,-0.112454564,-2.147902327,-1.152573607,-0.144510159
130,30/03/2011,-0.32995546,0.756358475,0.896180798,0.676438797,0.628702606,0.295885823,0.941413869,0.394318438,-0.671801902,0.906594839
131,31/03/2011,0.219839118,-0.54081299,-0.299617376,-0.676438797,-1.097679218,-1.022467791,-0.941413869,-1.50276556,-1.33024622,-0.617346057
132,01/04/2011,0.58868602,-0.519283942,-0.522184173,0.450469677,0.814259787,0.833506128,0.300276141,0.314236845,-0.461445299,0.326362021
133,04/04/2011,-0.29478276,-0.516604099,-0.222963583,-0.898889328,-0.595670777,-0.006285929,0.338923581,0.631484175,0.032897875,0.290984035
134,05/04/2011,-2.111484479,-2.250088506,-1.838966512,-2.649164459,-1.273512002,-1.857916842,-1.460432928,-0.631484175,0.362476039,-0.438727472
135,06/04/2011,0.505621754,0.505025921,0.804945767,0.218103034,0.712402034,-0.314477114,1.762647075,0.892022778,-0.428216897,0.036446836
136,07/04/2011,1.348670349,1.188491369,0.959815482,0.437635903,1.72446302,0.890609722,0.950399454,-0.554199581,0.65959144,0.622412156
137,08/04/2011,1.255581135,-0.042667852,-0.074167013,0.660067271,0.698180194,-0.316357178,0.344360496,0.44085622,0.265104877,-0.220121795
138,11/04/2011,0.372264522,0.470554138,0.148372276,-0.440530222,0,0.652397023,-1.029558663,2.838141201,0.598996974,0.073315241
139,12/04/2011,0.074610614,0.839687424,1.495915252,1.10499077,2.319699457,0.155970266,1.413616917,-0.893442159,1.107564877,1.55215382
140,13/04/2011,0,2.806565333,1.060595211,1.567787031,1.742615798,2.772715487,0.578771715,0.358728896,-0.538536878,1.463170654
141,14/04/2011,-0.706728537,0.178054353,2.3893668,0.22596912,0.866076109,0.424497103,-0.347657033,0.885000384,0.235254383,-0.264221245
142,15/04/2011,1.606653553,2.093561318,3.169785827,0,1.245598385,0.874097518,1.437169197,1.354162444,1.765142193,-0.301067733
143,18/04/2011,1.709430364,-1.557447359,0.646215237,-2.458216699,-1.846012401,1.256380202,1.220274546,-0.614612664,2.954172975,-1.232528291
144,19/04/2011,0.230172592,0.201731723,0.568864737,-0.879089299,4.211154386,-0.551647358,1.637081292,-1.763565982,-0.667947539,1.307697814
145,20/04/2011,-1.675607175,-0.268927001,-0.325468275,0.438559077,1.010980914,-0.529043514,-1.240256212,-0.841532026,0.491737501,2.3208304
146,21/04/2011,2.679058917,0.156819449,-1.050481014,0.661532618,-0.070045649,0.863611803,0.398401003,0.691158461,0.246791411,1.200405138
147,25/04/2011,-0.271135867,-1.136753036,1.702517323,0.221474616,-1.079560626,-0.707155702,0.039912874,-0.564803993,-1.29758476,-1.431080169
148,26/04/2011,1.169599972,-0.838666549,-0.814369482,0,-1.376026589,0.267859338,-2.016242666,0.726805615,-1.113853125,-0.536240532
149,27/04/2011,-1.247106523,-0.766285355,-0.727278526,-1.758283221,0,1.489536313,0.274323204,0.615482391,1.078866845,-1.779288959
150,28/04/2011,-1.269995057,0.480933101,1.133648092,0,0.548130543,-0.271873604,-1.325552527,-0.916111673,-1.320824286,-1.008030946
151,29/04/2011,0.459994672,0.991117907,-0.487432855,2.202746636,-0.068683704,-0.191847381,0.543684526,-0.242107961,0.519268178,1.233405068
152,02/05/2011,1.198042985,-1.62463257,-2.08506712,-0.665938032,-1.29606589,-0.376052257,-0.504967065,0.820938032,-0.450227144,-1.196250315
153,03/05/2011,1.252004396,0.918866917,0.876856329,0,2.097406022,0.230756537,1.051633601,1.450179845,0.658725526,0.745993959
154,04/05/2011,1.028881382,0.727940954,1.532904961,0.888891618,2.284382072,0.735251196,1.340177574,0.744883744,0.698066057,0.187345155
155,05/05/2011,-0.396991478,0.288207761,-0.081297708,-0.888891618,-0.42569669,0.206304412,0.03969535,-0.509013185,-0.14001208,-1.193147707
156,06/05/2011,0.635950743,0.17776592,1.061670531,2.327764787,0.141699204,0.655098291,-0.237890955,-0.729393838,0.069990029,0.037096704
157,09/05/2011,-1.50378364,-0.443848155,-0.817634138,-0.090550484,-1.127960046,-0.854737691,-1.688648505,-1.084253142,-1.009946967,-0.812438272
158,10/05/2011,3.395551734,2.08084684,0.24460568,2.938714116,1.305384518,1.689744007,1.92653946,0.791605419,1.818251,0.184044543
