"Source","Target","Type","Weight"
"V5","V39","Directed",0
"V5","V40","Directed",0
"V5","V41","Directed",0
"V5","V42","Directed",0
"V5","V43","Directed",0
"V5","V44","Directed",0
"V5","V45","Directed",0
"V5","V46","Directed",0
"V5","V47","Directed",0.030009342
"V5","V48","Directed",0.100326784
"V5","V49","Directed",0
"V5","V50","Directed",0
"V5","V51","Directed",0
"V5","V52","Directed",0
"V5","V53","Directed",0
"V5","V54","Directed",0
"V5","V55","Directed",0
"V5","V56","Directed",0
"V5","V57","Directed",0
"V5","V58","Directed",0
"V5","V59","Directed",0
"V5","V60","Directed",0
"V5","V61","Directed",0
"V5","V62","Directed",0
"V5","V63","Directed",0.061945889
"V5","V64","Directed",0
"V5","V65","Directed",0
"V5","V66","Directed",0
"V5","V67","Directed",0
"V5","V68","Directed",0
"V5","V69","Directed",0
"V5","V70","Directed",0
"V5","V71","Directed",0
"V5","V72","Directed",0
"V5","V73","Directed",0
"V5","V74","Directed",0
"V5","V75","Directed",0
"V5","V76","Directed",0
"V5","V77","Directed",0
"V5","V78","Directed",0
"V5","V79","Directed",0
"V5","V80","Directed",0
"V5","V81","Directed",0
"V5","V82","Directed",0
"V5","V83","Directed",0
"V5","V84","Directed",0
"V5","V85","Directed",0
"V5","V86","Directed",0
"V5","V87","Directed",0
"V5","V88","Directed",0
"V5","V89","Directed",0
"V5","V90","Directed",0
"V5","V91","Directed",0
"V5","V92","Directed",0
"V5","V93","Directed",0
"V5","V94","Directed",0
"V5","V95","Directed",0
"V5","V96","Directed",0
"V5","V97","Directed",0
"V5","V98","Directed",0
"V5","V99","Directed",0
"V5","V100","Directed",0
"V5","V101","Directed",0
"V5","V102","Directed",0
"V5","V103","Directed",0
"V5","V104","Directed",0
"V5","V105","Directed",0
"V5","V106","Directed",0
"V6","V7","Directed",0
"V6","V8","Directed",0
"V6","V9","Directed",0
"V6","V10","Directed",0
"V6","V11","Directed",0
"V6","V12","Directed",0.235431045
"V6","V13","Directed",0
"V6","V14","Directed",0
"V6","V15","Directed",0
"V6","V16","Directed",0
"V6","V17","Directed",0
"V6","V18","Directed",0
"V6","V19","Directed",0.061255801
"V6","V20","Directed",0
"V6","V21","Directed",0
"V6","V22","Directed",0
"V6","V23","Directed",0
"V6","V24","Directed",0
"V6","V25","Directed",0
"V6","V26","Directed",0
"V6","V27","Directed",0
"V6","V28","Directed",0.064085089
"V6","V29","Directed",0
"V6","V30","Directed",0
"V6","V31","Directed",0
"V6","V32","Directed",0
"V6","V33","Directed",0
"V6","V34","Directed",0
"V6","V35","Directed",0
"V6","V36","Directed",0
"V6","V37","Directed",0
"V6","V38","Directed",0
"V6","V39","Directed",0
"V6","V40","Directed",0
"V6","V41","Directed",0
"V6","V42","Directed",0
"V6","V43","Directed",0
"V6","V44","Directed",0
"V6","V45","Directed",0
"V6","V46","Directed",0
"V6","V47","Directed",0
"V6","V48","Directed",0
"V6","V49","Directed",0
"V6","V50","Directed",0
"V6","V51","Directed",0
"V6","V52","Directed",0
"V6","V53","Directed",0
"V6","V54","Directed",0
"V6","V55","Directed",0
"V6","V56","Directed",0
"V6","V57","Directed",0
"V6","V58","Directed",0
"V6","V59","Directed",0
"V6","V60","Directed",0
"V6","V61","Directed",0
"V6","V62","Directed",0
"V6","V63","Directed",0
"V6","V64","Directed",0
"V6","V65","Directed",0
"V6","V66","Directed",0
"V6","V67","Directed",0
"V6","V68","Directed",0
"V6","V69","Directed",0
"V6","V70","Directed",0
"V6","V71","Directed",0
"V6","V72","Directed",0
"V6","V73","Directed",0
"V6","V74","Directed",0
"V6","V75","Directed",0
"V6","V76","Directed",0
"V6","V77","Directed",0
"V6","V78","Directed",0
"V6","V79","Directed",0
"V6","V80","Directed",0
"V6","V81","Directed",0
"V6","V82","Directed",0
"V6","V83","Directed",0
"V6","V84","Directed",0
"V6","V85","Directed",0
"V6","V86","Directed",0
"V6","V87","Directed",0.123644158
"V6","V88","Directed",0
"V6","V89","Directed",0
"V6","V90","Directed",0
"V6","V91","Directed",0
"V6","V92","Directed",0
"V6","V93","Directed",0
"V6","V94","Directed",0
"V6","V95","Directed",0
"V6","V96","Directed",0
"V6","V97","Directed",0
"V6","V98","Directed",0
"V6","V99","Directed",0
"V6","V100","Directed",0
"V6","V101","Directed",0
"V6","V102","Directed",0
"V6","V103","Directed",0
"V6","V104","Directed",0
"V6","V105","Directed",0
"V6","V106","Directed",0
"V7","V8","Directed",0
"V7","V9","Directed",0
"V7","V10","Directed",0
"V7","V11","Directed",0
"V7","V12","Directed",0
"V7","V13","Directed",0
"V7","V14","Directed",0.067498006
"V7","V15","Directed",0
"V7","V16","Directed",0
"V7","V17","Directed",0
"V7","V18","Directed",0
"V7","V19","Directed",0
"V7","V20","Directed",0
"V7","V21","Directed",0
"V7","V22","Directed",0
"V7","V23","Directed",0
"V7","V24","Directed",0
"V7","V25","Directed",0
"V7","V26","Directed",0
"V7","V27","Directed",0.084568612
"V7","V28","Directed",0
"V7","V29","Directed",0
"V7","V30","Directed",0
"V7","V31","Directed",0
"V7","V32","Directed",0
"V7","V33","Directed",0
"V7","V34","Directed",0
"V7","V35","Directed",0
"V7","V36","Directed",0
"V7","V37","Directed",0
"V7","V38","Directed",0
"V7","V39","Directed",0
"V7","V40","Directed",0
"V7","V41","Directed",0
"V7","V42","Directed",0
"V7","V43","Directed",0
"V7","V44","Directed",0
"V7","V45","Directed",0
"V7","V46","Directed",0
"V7","V47","Directed",0
"V7","V48","Directed",0
"V7","V49","Directed",0
"V7","V50","Directed",0
"V7","V51","Directed",0
"V7","V52","Directed",0
"V7","V53","Directed",0
"V7","V54","Directed",0
"V7","V55","Directed",0
"V7","V56","Directed",0
"V7","V57","Directed",0
"V7","V58","Directed",0
"V7","V59","Directed",0
"V7","V60","Directed",0
"V7","V61","Directed",0
"V7","V62","Directed",0
"V7","V63","Directed",0
"V7","V64","Directed",0
"V7","V65","Directed",0
"V7","V66","Directed",0
"V7","V67","Directed",0
"V7","V68","Directed",0
"V7","V69","Directed",0
"V7","V70","Directed",0
"V7","V71","Directed",0
"V7","V72","Directed",0
"V7","V73","Directed",0
"V7","V74","Directed",0
"V7","V75","Directed",0
"V7","V76","Directed",0
"V7","V77","Directed",0
"V7","V78","Directed",0
"V7","V79","Directed",0
"V7","V80","Directed",0
"V7","V81","Directed",0
"V7","V82","Directed",0
"V7","V83","Directed",0
"V7","V84","Directed",0
"V7","V85","Directed",0
"V7","V86","Directed",0
"V7","V87","Directed",0
"V7","V88","Directed",0
"V7","V89","Directed",0
"V7","V90","Directed",0
"V7","V91","Directed",0
"V7","V92","Directed",0
"V7","V93","Directed",0
"V7","V94","Directed",0
"V7","V95","Directed",0
"V7","V96","Directed",0
"V7","V97","Directed",0
"V7","V98","Directed",0
"V7","V99","Directed",0
"V7","V100","Directed",0
"V7","V101","Directed",0
"V7","V102","Directed",0
"V7","V103","Directed",0
"V7","V104","Directed",0
"V7","V105","Directed",0
"V7","V106","Directed",0
"V8","V9","Directed",0
"V8","V10","Directed",0
"V8","V11","Directed",0
"V8","V12","Directed",0
"V8","V13","Directed",0
"V8","V14","Directed",0
"V8","V15","Directed",0.00672736
"V8","V16","Directed",0
"V8","V17","Directed",0
"V8","V18","Directed",0
"V8","V19","Directed",0
"V8","V20","Directed",0
"V8","V21","Directed",0
"V8","V22","Directed",0
"V8","V23","Directed",0
"V8","V24","Directed",0
"V8","V25","Directed",0
"V8","V26","Directed",0
"V8","V27","Directed",0
"V8","V28","Directed",0
"V8","V29","Directed",0
"V8","V30","Directed",0
"V8","V31","Directed",0
"V8","V32","Directed",0
"V8","V33","Directed",0
"V8","V34","Directed",0
"V8","V35","Directed",0
"V8","V36","Directed",0
"V8","V37","Directed",0
"V8","V38","Directed",0
"V8","V39","Directed",0
"V8","V40","Directed",0
"V8","V41","Directed",0
"V8","V42","Directed",0
"V8","V43","Directed",0
"V8","V44","Directed",0
"V8","V45","Directed",0
"V8","V46","Directed",0
"V8","V47","Directed",0
"V8","V48","Directed",0
"V8","V49","Directed",0.146357223
"V8","V50","Directed",0
"V8","V51","Directed",0
"V8","V52","Directed",0
"V8","V53","Directed",0
"V8","V54","Directed",0.016949989
"V8","V55","Directed",0
"V8","V56","Directed",0
"V8","V57","Directed",0
"V8","V58","Directed",0.091838069
"V8","V59","Directed",0
"V8","V60","Directed",0
"V8","V61","Directed",0
"V8","V62","Directed",0
"V8","V63","Directed",0
"V8","V64","Directed",0
"V8","V65","Directed",0
"V8","V66","Directed",0
"V8","V67","Directed",0
"V8","V68","Directed",0
"V8","V69","Directed",0
"V8","V70","Directed",0
"V8","V71","Directed",0
"V8","V72","Directed",0
"V8","V73","Directed",0.103999786
"V8","V74","Directed",0
"V8","V75","Directed",0
"V8","V76","Directed",0
"V8","V77","Directed",0
"V8","V78","Directed",0
"V8","V79","Directed",0
"V8","V80","Directed",0
"V8","V81","Directed",0
"V8","V82","Directed",0
"V8","V83","Directed",0
"V8","V84","Directed",0
"V8","V85","Directed",0
"V8","V86","Directed",0
"V8","V87","Directed",0
"V8","V88","Directed",0
"V8","V89","Directed",0
"V8","V90","Directed",0
"V8","V91","Directed",0
"V8","V92","Directed",0
"V8","V93","Directed",0
"V8","V94","Directed",0
"V8","V95","Directed",0
"V8","V96","Directed",0
"V8","V97","Directed",0
"V8","V98","Directed",0
"V8","V99","Directed",0
"V8","V100","Directed",0
"V8","V101","Directed",0
"V8","V102","Directed",0
"V8","V103","Directed",0
"V8","V104","Directed",0
"V8","V105","Directed",0
"V8","V106","Directed",0
"V9","V10","Directed",0
"V9","V11","Directed",0
"V9","V12","Directed",0
"V9","V13","Directed",0
"V9","V14","Directed",0
"V9","V15","Directed",0.046719309
"V9","V16","Directed",0
"V9","V17","Directed",0
"V9","V18","Directed",0
"V9","V19","Directed",0
"V9","V20","Directed",0
"V9","V21","Directed",0.319771111
"V9","V22","Directed",0
"V9","V23","Directed",0
"V9","V24","Directed",0
"V9","V25","Directed",0
"V9","V26","Directed",0
"V9","V27","Directed",0
"V9","V28","Directed",0
"V9","V29","Directed",0
"V9","V30","Directed",0
"V9","V31","Directed",0
"V9","V32","Directed",0
"V9","V33","Directed",0
"V9","V34","Directed",0
"V9","V35","Directed",0
"V9","V36","Directed",0
"V9","V37","Directed",0
"V9","V38","Directed",0
"V9","V39","Directed",0
"V9","V40","Directed",0
"V9","V41","Directed",0
"V9","V42","Directed",0
"V9","V43","Directed",0
"V9","V44","Directed",0
"V9","V45","Directed",0
"V9","V46","Directed",0
"V9","V47","Directed",0
"V9","V48","Directed",0
"V9","V49","Directed",0
"V9","V50","Directed",0
"V9","V51","Directed",0
"V9","V52","Directed",0
"V9","V53","Directed",0
"V9","V54","Directed",0
"V9","V55","Directed",0
"V9","V56","Directed",0
"V9","V57","Directed",0
"V9","V58","Directed",0
"V9","V59","Directed",0
"V9","V60","Directed",0
"V9","V61","Directed",0
"V9","V62","Directed",0
"V9","V63","Directed",0
