"","tables.hsba.ln","tables.X8306.to","tables.bnp.fr","tables.jpm","tables.dbk.xe","tables.barc.ln","tables.aca.fr","tables.bac","tables.c","tables.X8411.to","tables.gle.fr","tables.rbs.ln","tables.X8316.to","tables.san.mc","tables.wfc","tables.inga.ae","tables.lloy.ln","tables.ucg.mi","tables.ubsn.vx","tables.csgn.vx","tables.gs","tables.ndasek.sk","tables.isp.mi","tables.MS","tables.td.t","tables.ry.t","tables.bbva.mc","tables.cbk.xe","tables.nab.au","tables.bns.t","tables.cba.au","tables.stan.ln","tables.X600036.sh","tables.anz.au","tables.wbc.au","tables.X600000.sh","tables.danske.ko","tables.sber.mz","tables.X600016.sh","tables.bmo.t","tables.itub4.br","tables.X8308.to","tables.X8604.to","tables.X8309.to","tables.sbin.in","tables.dnb.os","tables.shba.sk","tables.seba.sk","tables.cm.t","tables.bk.us","tables.usb","tables.bbdc4.br","tables.kbc.bt","tables.pnc.us","tables.d05.sg","tables.X000001.sz","tables.X053000.se","tables.dexb.bt","tables.cof","tables.X055550.se","tables.sweda.sk","tables.X600015.sh","tables.ebs.vi","tables.bmps.mi","tables.stt.us","tables.sab.mc","tables.u11.sg","tables.pop.mc","tables.X024110.SE","tables.BBT","tables.bir.db","tables.NA.T","tables.STI.US","tables.bp.mi","tables.maybank.ku","tables.aib.db","tables.sbk.jo","tables.AXP","tables.ete.at","tables.mqg.au","tables.X8354.to","tables.X8332.to","tables.poh1s.he","tables.fitb.us","tables.rf.us","tables.X8331.to","tables.uni.mi","tables.bcp.lb","tables.cimb.ku","tables.bankbaroda.in","tables.isctr.is","tables.bes.lb","tables.X8377.to","tables.X8355.to","tables.mb.mi","tables.X8418.to","tables.US_b","tables.UK_b","tables.GER_b","tables.FRA_b","tables.ITA_b","tables.ESP_b","tables.GRC_b","tables.JPN_b","tables.CAN_b","tables.AUS_b"
"pop.mc",0,0,0,0,0,0,0,1.57870846142941e-06,0,0,0,2.42227627164174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29200897243615e-08,0,0,0,0,0,0,2.20171269344647e-08,0,0,0,0,2.33396522868383e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999780542157257,0,2.60775892552792e-06,5.54753714263782e-06,0,1.34126469555915e-06,0,0,0,0,0,0,0,0,0,0,2.32255424057118e-06,0.000203327526682775,0,0,7.06194478397622e-10,0,2.24572888746517e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X024110.SE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BBT",0,0,0,0,0,0,0,1.55235010131614e-05,0,0,0,0.000125775195059792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432010821256735,0,0,0,0,0,0,0.00421924322535915,0,0,0,0,8.6312133104732e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850512140638047,8.94905999977308e-05,0,1.47643081762716e-05,0,0,0,0,0,0,0,0,0,0,0.138682251617872,0.00199936105428502,0,0,1.303462066967e-05,0,8.30702608937174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bir.db",0,0,0,0,0,0,0,0.000151257745716398,0,0,0,0.000322579601445266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033083357666166,0,0,0,0,0,0,0.00076204590332531,0,0,0,0,2.65818253028803e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498758415055449,0.955209876856628,0,0.00463349365541122,0,0,0,0,0,0,0,0,0,0,0.0155977978133372,0.0194812963518786,0,0,8.95979796798167e-06,0,2.55980899599805e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA.T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STI.US",0,0,0,0,0,0,0,0.000192409731237779,0,0,0,0.000531674464048082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00817483260962438,0,0,0,0,0,0,0.000507332501648095,0,0,0,0,3.02629539407283e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00827354556152495,0.0135270244247341,0,0.940789021365373,0,0,0,0,0,0,0,0,0,0,0.00317243494576086,0.0247814877531062,0,0,2.10897863258219e-05,0,2.91468535903984e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bp.mi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maybank.ku",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aib.db",0,0,0,0,0,0,0,0.000839002959983045,0,0,0,0.000127469228138542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254355447721511,0,0,0,0,0,0,0.00181729889256837,0,0,0,0,1.18712378040162e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127593191563879,0.000390911901597487,0,6.76652934724907e-05,0,0,0.939199817544074,0,0,0,0,0,0,0,0.0221051939913886,0.00981292937779211,0,0,6.51471515640054e-05,0,1.14256945195579e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sbk.jo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
