"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"15",0,0,0,0.0119541585445404,0,0,0,0.0438079386949539,0.0415516048669815,0,0,0,0,0,1,0,0,0.0146564170718193,0,0,0,0,0,0.0807002186775208,0,0,0,0,0,0,0,0,0,0,0,0,0.029576912522316,0,0,0,0,0,0,0,0,0,0,0.0291969925165176,0,0.111379474401474,0.290771007537842,0,0,0.143322631716728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109201073646545,0,0,0.0348976999521255,0,0.138801902532578,0,0,0,0,0,0.0247799456119537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0.104017153382301,0,0.0566555038094521,0.033998154103756,0.0875906348228455,0,0,0,0,0,0,0,0,1,0.0936466753482819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094537764787674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203039795160294,0,0,0,0.00511465966701508,0,0,0,0.0106939822435379,0,0,0,0,0,0,0,0,0,0
"17",0,0,0.00349697470664978,0,0,0.00149045884609222,0,0,0,0,0,0.305472195148468,0,0,0,0.0936466753482819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287505686283112,0,0,0,0,0,0.198871240019798,0,0,0,0,0,0,0,0,0,0.124087616801262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426885336637497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0.0298104137182236,0.0319814682006836,0,0,0.0524108707904816,0,0,0,0.128260597586632,0,0,0.0545171648263931,0.0146564170718193,0,0,1,0,0.0219271779060364,0,0,0.0143732726573944,0,0,0,0.0258318483829498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253511965274811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167171284556389,0,0,0,0,0,0,0,0,0,0,0,0,0.0170488506555557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0.125771567225456,0.0886972546577454,0,0,0,0,0,0,0,0.0606342554092407,0,0,0,0,1,0.157839491963387,0.183534845709801,0,0,0,0,0,0,0.000615552067756653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139640867710114,0,0.0874615013599396,0,0.0232375413179398,0,0,0,0,0,0,0
"20",0.026852548122406,0,0.091887891292572,0,0.142298340797424,0,0.0514293760061264,0,0,0,0.028500035405159,0,0,0,0,0,0,0.0219271779060364,0.157839491963387,1,0,0.0422301739454269,0.0633678287267685,0.0464480370283127,0,0,0.038062572479248,0,0,0,0,0,0,0,0,0,0,0,0,0.00354667007923126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825827419757843,0,0,0,0,0,0,0,0,0,0,0.0883170962333679,0,0,0,0,0,0,0,0,0.017520472407341,0,0.0250853598117828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369913354516029,0,0,0,0,0.0274381637573242,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0.240142896771431,0,0,0,0,0,0,0,0,0,0.183534845709801,0,1,0,0,0.248641759157181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116342350840569,0,0,0,0,0,0.00318264216184616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445441678166389,0,0,0,0,0,0,0,0.0108681283891201,0.0344661623239517,0,0,0,0.0622821673750877,0,0,0,0,0,0,0.105680488049984,0,0,0,0,0,0,0,0,0,0.179712161421776,0,0,0,0,0,0,0,0.126432120800018,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422301739454269,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577316284179688,0,0,0,0,0,0,0,0,0,0.292948424816132,0.0148541182279587,0,0,0,0,0,0,0,0,0,0,0.0355724096298218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818936973810196,0,0,0,0,0,0,0,0,0.0430511385202408,0,0,0,0,0,0,0,0.0368404537439346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0.050012931227684,0.0471343845129013,0,0,0,0,0,0,0,0.0636761337518692,0,0,0,0,0,0,0.0143732726573944,0,0.0633678287267685,0,0,1,0,0,0,0,0,0.353668719530106,0,0,0,0,0,0,0.00819814205169678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612203478813171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0.0472365021705627,0.025905579328537,0,0,0,0.000803425908088684,0,0,0,0,0,0.0807002186775208,0,0,0,0,0.0464480370283127,0.248641759157181,0,0,1,0,0.047603040933609,0.0204088538885117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128845140337944,0,0,0,0.0303304642438889,0,0,0,0,0,0,0,0,0,0,0,0,0.0537827536463737,0,0,0,0.00608058273792267,0,0,0,0,0,0.0421242266893387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220592841506004,0,0,0,0,0,0,0,0,0,0,0
